"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"C1,C10";"SM0805";2;"330nF";;;
2;"C2,C8,C9";"c_elec_10x10.5";3;"330uF";;;
3;"C3,C4,C11";"SM0805";3;"100nF";;;
4;"C5";"SM0805";1;"27Pf";;;
5;"C6,C7";"SM0805";2;"10nF";;;
6;"C12";"SM0805";1;"27pF";;;
7;"C13";"SM0805";1;"C";;;
8;"D2,D5";"SM0805";2;"LED";;;
9;"D3,D4";"SM0805";2;"3V6";;;
10;"D6";"SM1206";1;"DIODE";;;
11;"FB1";"SM0805";1;"10uH";;;
12;"J1";"USB_MINI_B";1;"USB";;;
13;"P1";"PIN_ARRAY_4x1";1;"";;;
14;",,,,,";"SMD_PIN";6;"";;;
15;"P4";"AK300-2";1;"Power Out";;;
16;"";"JACK_ALIM";1;"";;;
17;"P10,P11";"AK300-2";2;"";;;
18;"P12";"PIN_ARRAY_2X1";1;"NTC";;;
19;"P13";"PIN_ARRAY_5x1";1;"CONN_5";;;
20;"Q1";"DPAKGDS";1;"N-Mos";;;
21;"R1,R8,R9,R11";"SM0805";4;"1k";;;
22;"R2";"SM0805";1;"10k";;;
23;"R3,R17,R27,R28,R29";"SM0805";5;"R";;;
24;"R4,R14";"SM0805";2;"68";;;
25;"R5,R6,R7";"SM0805";3;"330R";;;
26;"R10";"R3";1;"1k";;;
27;"R12,R13";"SM1206";2;"47";;;
28;"R15";"SM0805";1;"1k5";;;
29;"R16";"SM0805";1;"300k";;;
30;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
31;"U1";"DPAK2";1;"7805";;;
32;"U2";"TO220_VERT";1;"TRIAK";;;
33;"U3";"SWDIP8_.6W";1;"POLOLU_A4988";;;
34;"X1";"Q_49U3HMS";1;"12MHz";;;
35;"IC1";"TQFP32";1;"Atmega8";;;
36;"";"DIP-6__300";1;"MOC3042M";;;
37;"U4";"SO8E";1;"TC4420";;;
